reaction	linear_coefficient
r_0351	[0.011444534579971796, 0.010651754770302236, 0.010179593274429292]
r_0352	[0.019860254573854395, 0.017398581458162053, 0.015449162565077869]
r_0353	[0.019860254573854395, 0.010651754770302236, 0.010179593274429292]
r_0354	[0.019860254573854395, 0.010651754770302236, 0.010179593274429292]
r_0355	[0.001767845319679071, 0.0012980738002587443, 0.0014923800029446657]
r_0356	[0.0012623466269772146, 0.0016965738179173994, 0.0021545835985746294]
r_0357	[0.003201017437449174, 0.003600518346730992, 0.004214149018881382]
r_0358	[0.0049494432439269875, 0.009345560267976671, 0.01011225053589061]
r_0359	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0360	[0.04912918437436088, 0.06815198648496597, 0.11513325128690034]
r_0361	[0.01155563319375242, 0.011227365906920334, 0.01490480876189056]
r_0362	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0363	[0.004484206426615429, 0.00851535189785445, 0.0050843767596673506]
r_0364	[0.0049494432439269875, 0.009345560267976671, 0.01011225053589061]
r_0365	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0366	[0.014338653468957165, 0.017398581458162053, 0.015449162565077869]
r_0367	[0.014338653468957165, 0.017398581458162053, 0.015449162565077869]
r_0368	[0.09444630893547903, 0.21673714584697107, 0.11513325128690034]
r_0369	[0.004378662743523831, 0.00483734743657872, 0.0050843767596673506]
r_0370	[0.9677147428353527, 1.0, 1.0]
r_0371	[0.04751269954385274, 0.15773146962115236, 0.2278649956005841]
r_0372	[0.04912918437436088, 0.06815198648496597, 0.11513325128690034]
r_0373	[0.011444534579971796, 0.0115262409201643, 0.01191366879179928]
r_0374	[0.011444534579971796, 0.0115262409201643, 0.01191366879179928]
