reaction	linear_coefficient
r_0050_EXP_2	[0.0029263740175228567, 0.0029251970894388717, 0.003625692667841626, 0.0033920005682580023, 0.0057745136380545235, 0.006727939132984496]
r_0051_EXP_1	[0.004490899270460658, 0.00448742592690222, 0.0031092740941729862, 0.003116612983297089, 0.007581323733382457, 0.007112458259611784]
r_0051_EXP_2	[0.0022702827824199094, 0.002321608674964396, 0.0014309137297499352, 0.00146428747353164, 0.0025279017480120992, 0.002291179979592634]
r_0051_REV_EXP_1	[0.004490899270460658, 0.00448742592690222, 0.0031092740941729862, 0.003116612983297089, 0.007581323733382457, 0.007112458259611784]
r_0051_REV_EXP_2	[0.0022702827824199094, 0.002321608674964396, 0.0014309137297499352, 0.00146428747353164, 0.0025279017480120992, 0.002291179979592634]
r_0052	[0.002001117147505881, 0.0019132988651728365, 0.0020948804673238913, 0.0021724269777168323, 0.0014268768461716279, 0.0018179256698975012]
r_0052_REV	[0.002001117147505881, 0.0019132988651728365, 0.0020948804673238913, 0.0021724269777168323, 0.0014268768461716279, 0.0018179256698975012]
r_0053	[0.002001117147505881, 0.0019132988651728365, 0.0020948804673238913, 0.0021724269777168323, 0.0014268768461716279, 0.0018179256698975012]
r_0053_REV	[0.002001117147505881, 0.0019132988651728365, 0.0020948804673238913, 0.0021724269777168323, 0.0014268768461716279, 0.0018179256698975012]
r_0054	[0.02028755746947778, 0.026802444662032205, 0.02634810990926139, 0.021764286593507133, 0.007553092325642957, 0.007053301470899904]
r_0055	[0.001967471443141626, 0.0018422884634699572, 0.0011727044429156199, 0.001306923139268266, 0.0014268768461716279, 0.0015221417263380427]
r_0056_EXP_1	[0.008747080872538754, 0.007753904405234704, 0.012128155612885855, 0.012106050578092428, 0.008117720480432949, 0.009567464991155294]
r_0056_EXP_2	[0.08746120623271052, 0.08272313600305022, 0.12380367216872713, 0.052666707734477666, 0.03567157443418415, 0.04021068154391516]
r_0057_EXP_1	[0.03668983834705153, 0.0296251081297217, 0.03204715774010464, 0.02923909247101746, 0.018591572751787168, 0.04021068154391516]
r_0057_EXP_2	[0.017713661085612394, 0.01618638960745167, 0.014931570727086995, 0.016787639522427854, 0.014228629500707626, 0.015394408679276599]
r_0057_EXP_3	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014122537721970928]
r_0057_EXP_4	[0.010328428977658672, 0.010079495061004013, 0.01267992033561371, 0.013405474225061324, 0.013453456543198303, 0.011578795807359585]
r_0058	[0.017932358163980044, 0.015618306393828649, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014389888854167603]
